Id,diagonal,height_left,height_right,margin_low,margin_up,length,is_genuine,Probability of Prediction,Prediction
A_31,171.71,103.95,103.97,4.0,2.83,113.55,True,0.9999394648450518,True
A_32,171.98,104.33,103.61,3.68,3.14,113.41,True,0.9998606685273862,True
A_33,171.99,103.79,103.9,4.62,2.9,112.92,True,0.9856122642948647,True
A_34,171.85,104.1,103.88,4.13,2.93,112.93,True,0.9965709818472266,True
A_35,172.29,103.61,104.44,4.54,2.69,113.48,True,0.9995957196093606,True
A_36,172.01,103.81,103.65,4.36,3.03,113.26,True,0.9986882843400113,True
A_37,171.8,104.28,104.06,4.47,3.29,113.93,True,0.996479850586026,True
A_38,171.73,104.1,104.19,3.41,3.19,112.79,True,0.9935016155489877,True
A_39,172.0,103.76,104.27,4.42,3.29,112.67,True,0.48192934462152287,False
A_40,172.28,104.11,104.19,3.93,3.08,113.51,True,0.9995457149798245,True
A_41,172.44,103.96,104.55,3.73,2.86,113.16,True,0.9995933290149585,True
A_42,172.08,104.19,103.82,3.99,3.21,113.2,True,0.9967500263017015,True
A_43,172.1,103.73,103.33,3.72,3.02,113.5,True,0.999990251735257,True
A_44,172.4,103.41,103.85,4.01,3.15,113.45,True,0.9997523243666182,True
A_45,171.79,103.83,103.76,3.99,3.18,112.9,True,0.9915219486742871,True
A_46,171.42,104.65,103.63,3.99,3.05,113.08,True,0.9969517456835288,True
A_47,171.47,103.74,104.42,4.19,2.92,113.53,True,0.9989971834497601,True
A_48,172.13,104.15,103.93,3.97,2.87,113.31,True,0.999831169445548,True
A_49,172.07,104.05,103.82,3.71,3.61,113.05,True,0.963356165310165,True
A_50,171.82,103.82,103.61,4.42,2.9,113.02,True,0.9978390203172051,True
A_51,171.95,104.02,103.82,4.28,3.0,113.28,True,0.9985732903083134,True
A_52,172.03,103.59,104.09,4.49,2.85,113.44,True,0.9993610636201107,True
A_53,171.64,104.18,103.78,3.49,3.68,113.94,True,0.9994451367252042,True
A_54,171.71,103.99,103.47,4.49,3.04,113.07,True,0.9941863223105878,True
A_55,172.02,103.58,103.8,3.95,3.46,112.4,True,0.6833922414885346,True
A_56,171.56,103.42,103.64,3.77,3.04,113.3,True,0.9998957637821227,True
A_57,171.26,104.23,103.93,4.36,2.68,113.5,True,0.9998019168677177,True
A_58,171.66,103.75,104.07,4.01,2.98,113.47,True,0.9996758808651601,True
A_59,171.88,104.12,103.86,4.07,3.41,113.5,True,0.9939544725211125,True
A_60,171.88,103.91,103.88,4.05,3.16,113.24,True,0.9974674868382613,True
A_61,172.24,104.03,103.86,3.71,3.01,113.03,True,0.9995777056078498,True
A_62,171.9,103.46,104.22,3.99,3.0,113.08,True,0.997968144010578,True
A_63,171.42,103.82,103.84,4.01,2.96,113.16,True,0.9991147379397816,True
A_64,171.98,103.92,103.57,4.14,2.75,113.13,True,0.9998890439223969,True
A_65,171.79,103.91,103.94,3.44,2.96,113.39,True,0.999971370247707,True
A_66,172.08,104.49,103.96,4.38,3.14,113.42,True,0.993460630644309,True
A_67,172.41,104.1,104.27,3.8,3.31,112.68,True,0.9181937390796829,True
A_68,172.33,103.97,103.66,3.97,3.07,112.97,True,0.998714942242764,True
A_69,171.6,103.55,103.74,3.79,2.86,112.82,True,0.9995773366953287,True
A_70,171.98,104.16,103.76,4.08,2.94,113.08,True,0.9990090505478495,True
A_71,171.81,103.84,103.66,4.35,2.93,112.97,True,0.9969479361400123,True
A_72,171.84,103.59,103.98,4.09,3.05,113.09,True,0.9973461257599957,True
A_73,171.94,103.89,103.45,4.116096807415037,3.25,112.79,True,0.9840261893496869,True
A_74,171.35,103.58,103.59,4.08,2.85,113.98,True,0.9999957802450261,True
A_75,172.49,103.69,103.79,3.81,2.77,113.09,True,0.9999638651347664,True
A_76,172.26,103.85,103.7,4.16,3.2,112.35,True,0.8650687800978156,True
A_77,171.65,103.31,103.55,4.14,3.37,112.87,True,0.9716881115872825,True
A_78,171.84,104.09,103.15,4.11,2.77,113.18,True,0.9999616927509026,True
A_79,171.71,103.43,103.61,4.11,2.97,112.95,True,0.9989221580388392,True
A_80,171.58,103.71,103.57,4.49,3.14,113.65,True,0.9991418612177548,True
A_81,171.89,103.42,103.35,4.92,3.02,113.2,True,0.9946473130990373,True
A_82,171.85,103.87,103.27,4.09,2.95,113.09,True,0.9997666028506565,True
A_83,172.08,103.93,103.85,4.3,3.26,113.65,True,0.9983709832997123,True
A_84,172.52,104.32,103.86,3.7,3.14,113.36,True,0.9997730169387089,True
A_85,171.85,103.91,103.91,4.5,3.21,113.09,True,0.948751127728988,True
A_86,171.98,104.32,103.71,4.25,3.06,113.46,True,0.9991888767350601,True
A_87,172.01,104.58,103.89,3.96,2.87,113.28,True,0.9997105480158524,True
A_88,171.7,103.75,103.4,4.47,3.28,113.57,True,0.9980581143296302,True
A_89,171.93,103.65,103.56,4.12,2.77,112.95,True,0.9997804362789646,True
A_90,171.94,103.49,103.82,4.24,3.19,113.05,True,0.9909843675283775,True
A_91,171.81,103.76,103.61,4.31,3.08,112.74,True,0.9808066554316618,True
A_92,172.08,104.01,104.5,4.3,2.97,113.05,True,0.9792348206991534,True
A_93,171.81,104.14,103.35,4.03,3.03,112.83,True,0.9980270630901189,True
A_94,172.05,103.75,103.98,4.1,3.12,113.27,True,0.998099270032179,True
A_95,172.34,104.26,103.76,4.01,3.17,113.28,True,0.9987342697790351,True
A_96,172.0,103.83,103.82,4.64,3.32,113.0,True,0.8250439252883803,True
A_97,171.57,104.61,103.91,4.49,3.16,113.42,True,0.981190496433524,True
A_98,171.86,103.6,103.99,3.65,3.15,113.56,True,0.9999013142609794,True
A_99,171.54,103.75,103.62,4.59,2.85,113.44,True,0.9995052909927463,True
A_100,171.93,104.07,104.18,4.116096807415037,3.14,113.08,True,0.9844502034458572,True
A_101,171.53,104.02,103.87,4.1,3.03,113.32,True,0.9987962818549437,True
A_102,171.55,103.35,103.69,4.31,3.19,113.42,True,0.9982031654025211,True
A_103,172.05,103.69,103.89,4.42,3.15,112.67,True,0.8952615869456924,True
A_104,172.0,104.14,103.98,3.87,3.12,113.5,True,0.9996199341136821,True
A_105,171.96,103.95,103.81,4.23,3.09,113.27,True,0.997842830435817,True
A_106,171.85,103.66,103.9,4.16,2.98,112.91,True,0.9957769065472862,True
A_107,172.27,103.95,103.75,3.94,3.19,113.98,True,0.9999709422501063,True
A_108,172.61,103.88,104.06,4.27,3.2,113.22,True,0.9926190127152179,True
A_109,171.91,104.23,104.14,3.59,3.11,113.42,True,0.999696601697987,True
A_110,171.65,103.77,103.95,4.18,3.16,113.26,True,0.9948762247778481,True
A_111,172.07,103.72,103.44,4.03,2.9,113.55,True,0.9999847342906426,True
A_112,172.03,103.96,103.58,4.06,2.85,113.02,True,0.9997059328017563,True
A_113,171.8,104.22,103.74,3.66,3.08,113.53,True,0.9999304225041757,True
A_114,171.82,104.23,104.05,4.21,3.2,112.89,True,0.9233291681313894,True
A_115,172.24,103.97,103.69,4.32,2.98,113.26,True,0.9991947588117739,True
A_116,171.88,103.61,103.46,3.52,2.99,112.94,True,0.9999211965835367,True
A_117,172.23,104.18,103.71,3.93,3.32,113.48,True,0.9990360048473754,True
A_118,172.11,104.36,104.01,4.14,3.17,112.59,True,0.8598038055946007,True
A_119,171.92,103.6,103.36,4.23,2.93,113.51,True,0.9999567400252797,True
A_120,171.89,103.66,103.28,3.79,3.03,112.74,True,0.9994635619894549,True
A_121,171.92,103.78,103.61,4.02,3.31,112.91,True,0.9865045232851299,True
A_122,172.23,104.12,103.75,3.91,3.02,113.02,True,0.9991129795822103,True
A_123,171.81,103.31,103.92,3.99,3.06,113.32,True,0.9995856157553209,True
A_124,171.62,104.24,103.85,4.08,2.9,112.87,True,0.9960850177111087,True
A_125,171.89,103.63,104.12,4.37,3.06,113.38,True,0.9967322362478883,True
A_126,171.5,104.03,103.97,3.41,3.54,113.24,True,0.9933791835545559,True
A_127,172.22,104.07,103.98,4.01,2.83,112.92,True,0.9990676222057335,True
A_128,171.93,103.98,104.07,4.41,2.96,113.02,True,0.9879038665900769,True
A_129,171.96,104.34,103.85,3.95,3.28,113.73,True,0.9994813236010582,True
A_130,172.0,104.05,103.67,4.02,3.18,113.4,True,0.9993028255131562,True
A_131,171.66,103.43,103.54,4.38,3.51,113.2,True,0.9524454540951122,True
A_132,171.27,104.14,103.78,3.91,2.69,112.81,True,0.9994438967502773,True
A_133,171.84,103.77,103.98,4.61,2.99,113.59,True,0.9984515199899039,True
A_134,171.54,104.36,103.28,3.99,3.21,113.43,True,0.9995162505181665,True
A_135,172.27,104.12,103.96,4.12,2.74,113.12,True,0.9997301898545772,True
A_136,171.87,104.67,103.85,4.36,2.71,113.71,True,0.9999365630097411,True
A_137,172.06,104.19,103.59,4.39,3.22,113.69,True,0.9990675015689408,True
A_138,171.6,104.02,103.9,4.2,3.15,113.15,True,0.989766425411766,True
A_139,172.43,104.05,104.02,4.09,2.93,113.6,True,0.9999060635430558,True
A_140,172.46,103.81,103.52,4.05,3.16,112.6,True,0.9894180552450179,True
A_141,172.47,103.82,103.59,3.85,2.77,113.17,True,0.9999805686634298,True
A_142,171.52,104.11,104.23,4.73,3.08,113.33,True,0.9379117021287038,True
A_143,172.18,104.46,103.8,4.31,2.84,113.58,True,0.9998646353404343,True
A_144,172.04,103.82,103.79,4.07,3.2,113.98,True,0.9999349132704128,True
A_145,171.8,104.31,103.78,3.79,3.12,112.78,True,0.9928302755490812,True
A_146,171.65,103.59,103.83,3.97,3.12,113.04,True,0.9972293390368594,True
A_147,172.38,103.72,103.88,4.36,3.05,113.19,True,0.9974177703010749,True
A_148,172.35,103.72,103.67,4.2,3.07,112.87,True,0.9958186350774775,True
A_149,172.46,103.99,104.04,4.14,2.68,112.93,True,0.9995758959078894,True
A_150,171.91,103.97,103.6,4.66,3.03,113.98,True,0.9998410424222717,True
A_151,171.72,103.91,104.57,4.08,2.79,113.44,True,0.9994778846613835,True
A_152,172.07,103.8,104.38,4.116096807415037,3.02,112.93,True,0.9850239980716438,True
A_153,171.97,104.29,104.04,4.46,2.97,113.81,True,0.9995603806763277,True
A_154,171.96,104.16,103.67,3.98,3.23,112.97,True,0.9921465369013963,True
A_155,172.08,103.95,103.7,3.76,2.97,113.52,True,0.9999748438475892,True
A_156,171.75,104.03,103.85,4.36,2.96,113.22,True,0.9974102521324644,True
A_157,171.57,103.98,103.4,4.05,2.74,113.7,True,0.9999954964734327,True
A_158,171.88,104.04,104.08,3.8,3.01,113.6,True,0.9998974235300746,True
A_159,172.05,103.88,103.76,4.2,3.15,113.94,True,0.9999105841213218,True
A_160,172.15,103.74,103.92,4.64,3.35,113.19,True,0.8998858042687642,True
A_161,172.26,104.46,103.6,4.18,3.31,113.0,True,0.9766435633738406,True
A_162,172.31,103.89,103.78,4.49,3.06,113.34,True,0.9977754982126257,True
A_163,172.09,104.05,104.26,4.1,2.95,113.68,True,0.9997932753775975,True
A_164,171.9,103.4,103.45,4.09,3.33,112.97,True,0.9929298536119316,True
A_165,172.38,103.98,104.4,3.81,2.8,112.9,True,0.9991035432504352,True
A_166,171.81,103.53,103.76,3.91,2.87,113.52,True,0.9999781236487262,True
A_167,172.31,104.05,103.51,4.43,2.86,113.18,True,0.9995348487563955,True
A_168,172.2,104.06,103.97,4.16,3.17,112.47,True,0.8390670186262407,True
A_169,172.21,103.32,103.99,4.11,3.04,113.46,True,0.9997505133214386,True
A_170,171.28,104.2,103.89,4.29,3.06,112.56,True,0.8302508043190182,True
A_171,171.62,104.41,103.71,4.13,3.21,113.98,True,0.9998058603083313,True
A_172,172.4,103.51,103.52,3.68,3.16,113.35,True,0.9999502645831047,True
A_173,172.26,104.09,103.56,3.53,2.99,113.1,True,0.9999433893356562,True
A_174,172.58,104.03,103.9,3.79,2.92,113.57,True,0.9999820549265673,True
A_175,171.55,104.4,103.17,4.54,2.83,113.3,True,0.9996244740890363,True
A_176,172.13,104.26,103.88,3.97,3.0,113.11,True,0.9988549363156423,True
A_177,171.75,103.63,103.15,4.46,2.77,113.22,True,0.9999087476131767,True
A_178,172.09,104.19,103.5,4.16,3.04,112.94,True,0.9973970052009192,True
A_179,171.79,104.57,104.04,4.26,3.15,113.46,True,0.9936830487921328,True
A_180,171.66,104.16,103.94,4.05,3.04,113.09,True,0.9960699778207807,True
A_181,171.8,104.17,103.74,4.03,2.92,113.04,True,0.9990462475392194,True
A_182,172.37,103.31,103.5,3.79,3.13,112.43,True,0.9958774224049494,True
A_183,171.94,104.44,104.13,3.41,3.02,113.49,True,0.9999386974780368,True
A_184,171.94,103.97,103.84,3.95,3.05,112.88,True,0.9962855669228337,True
A_185,171.84,103.71,103.9,4.61,2.82,112.68,True,0.9748069367346514,True
A_186,172.4,104.13,103.84,4.25,3.09,113.29,True,0.9981746605514973,True
A_187,172.21,103.48,104.04,4.4,3.0,113.15,True,0.9963795267912436,True
A_188,172.61,104.05,104.17,3.68,3.38,113.12,True,0.993394395794668,True
A_189,172.1,104.05,103.84,3.76,3.17,113.44,True,0.9997337925923511,True
A_190,172.18,104.02,103.54,4.17,3.49,113.64,True,0.9975896922828156,True
A_191,171.95,103.73,103.77,4.09,3.02,113.6,True,0.999893596592246,True
A_192,171.86,104.67,103.62,4.01,3.34,112.89,True,0.953971339527413,True
A_193,171.78,103.74,103.55,3.86,2.87,113.41,True,0.9999784289656268,True
A_194,172.35,103.73,103.15,4.49,3.37,112.49,True,0.8335615418803708,True
A_195,171.94,104.34,103.99,4.27,2.87,113.14,True,0.9977642016252345,True
A_196,172.22,103.59,103.81,3.47,3.34,113.23,True,0.9995858302548936,True
A_197,171.99,103.98,103.73,4.34,3.2,113.05,True,0.9822881659894871,True
A_198,171.45,103.66,103.8,4.116096807415037,3.62,113.27,True,0.9200762922666375,True
A_199,171.9,104.14,103.75,4.56,2.97,113.0,True,0.9866813377569973,True
A_200,171.9,104.42,104.02,4.38,3.1,112.87,True,0.917996754901849,True
A_201,171.97,104.01,103.41,3.8,2.96,112.85,True,0.9996339661975522,True
A_202,171.71,104.27,104.19,3.56,3.15,112.71,True,0.9843378713524933,True
A_203,172.11,103.98,104.02,4.17,3.24,112.96,True,0.9642961829972406,True
A_204,172.33,104.18,104.04,4.29,2.99,113.98,True,0.999928488308553,True
A_205,171.88,103.83,103.31,4.36,3.07,113.83,True,0.9999480593933066,True
A_206,172.16,104.04,104.02,4.06,3.08,113.02,True,0.9946760878796419,True
A_207,172.18,103.68,103.15,4.16,3.18,113.93,True,0.9999864992130703,True
A_208,172.3,104.34,103.93,3.98,3.33,113.08,True,0.9827094633422909,True
A_209,171.59,103.8,104.08,4.18,3.17,113.04,True,0.9756649898264513,True
A_210,172.23,103.31,103.97,4.01,3.38,113.9,True,0.9997617519375992,True
A_211,172.12,103.76,103.66,4.27,2.95,113.4,True,0.999777035317494,True
A_212,171.78,103.52,103.69,4.31,2.85,113.59,True,0.9999416243447187,True
A_213,171.59,104.06,103.85,4.41,3.29,113.49,True,0.9875796566693736,True
A_214,172.26,103.75,103.87,3.95,3.1,113.08,True,0.9986659580633696,True
A_215,172.1,103.61,103.79,4.86,3.14,112.89,True,0.8669496479671254,True
A_216,172.05,104.08,103.66,4.49,3.24,113.23,True,0.983889364550687,True
A_217,171.74,104.43,103.15,4.23,3.15,113.19,True,0.998378102717251,True
A_218,172.37,104.32,103.52,3.96,3.11,112.84,True,0.9971017587255737,True
A_219,172.19,104.07,103.71,4.0,2.82,112.71,True,0.9988843589407372,True
A_220,172.11,103.33,103.8,4.55,2.91,113.17,True,0.9984868265238483,True
A_221,171.26,103.59,103.8,4.11,3.25,113.03,True,0.981931721098173,True
A_222,172.04,103.67,103.6,4.09,3.14,112.99,True,0.9973295365726275,True
A_223,171.79,103.88,103.7,4.1,3.12,113.42,True,0.9993751805029456,True
A_224,171.97,104.05,103.82,4.09,2.88,112.67,True,0.9949940235198871,True
A_225,172.12,103.31,103.92,4.46,3.26,113.44,True,0.9946219980896752,True
A_226,171.29,104.22,104.16,4.37,3.14,113.3,True,0.969555799838591,True
A_227,171.84,103.81,103.83,4.33,2.86,113.14,True,0.9988960412041956,True
A_228,171.69,103.8,104.1,4.32,2.69,113.52,True,0.9998865524498735,True
A_229,172.5,104.54,103.78,3.99,3.1,112.82,True,0.9924914301290267,True
A_230,172.28,103.63,103.97,3.79,2.94,112.9,True,0.9994368311297926,True
A_231,172.32,103.31,104.0,4.01,3.08,112.87,True,0.9965114191331784,True
A_232,172.61,104.22,104.0,4.2,3.27,113.69,True,0.9988234715219676,True
A_233,171.34,104.26,104.06,3.77,3.2,113.91,True,0.9998314209674177,True
A_234,172.26,104.16,103.2,4.55,3.35,113.23,True,0.9880932287204324,True
A_235,171.97,103.55,104.2,4.21,3.12,113.2,True,0.9932797537786522,True
A_236,171.77,103.62,103.32,3.9,3.17,113.45,True,0.9999041726560501,True
A_237,171.85,104.1,104.16,4.18,3.06,113.19,True,0.9930832029542457,True
A_238,172.19,103.96,104.03,3.95,3.2,112.71,True,0.966681935604589,True
A_239,172.23,104.21,103.97,3.74,2.9,113.4,True,0.9999424103136693,True
A_240,171.85,104.07,103.9,4.8,3.46,113.73,True,0.9396127404291573,True
A_241,171.86,103.6,104.09,3.9,2.8,113.18,True,0.9998390580328356,True
A_242,171.83,104.14,104.06,4.116096807415037,3.02,112.36,True,0.8526797248930491,True
A_243,171.74,103.95,103.78,4.74,3.29,113.04,True,0.7861328816678061,True
A_244,172.17,103.61,104.33,3.41,2.82,112.79,True,0.9997624364946565,True
A_245,171.57,104.09,103.58,3.99,3.23,112.98,True,0.9917907163758157,True
A_246,171.99,103.7,103.59,4.37,3.12,112.85,True,0.9852315755713895,True
A_247,171.94,103.91,103.99,4.02,2.94,113.06,True,0.9987043941132531,True
A_248,172.45,103.97,104.32,4.15,3.23,113.45,True,0.9951184405856204,True
A_249,172.12,104.03,104.02,4.38,2.83,113.03,True,0.9970458102893378,True
A_250,171.67,103.74,103.7,4.01,2.87,113.29,True,0.9998807999828697,True
A_251,172.38,103.45,104.11,4.72,3.01,113.19,True,0.9880954861002879,True
A_252,171.8,103.31,103.15,4.116096807415037,2.95,113.22,True,0.9999402852397264,True
A_253,171.68,104.27,104.07,4.08,3.34,113.57,True,0.9933629830866855,True
A_254,172.07,104.33,104.33,4.41,3.39,113.39,True,0.8813112439375572,True
A_255,172.17,104.21,103.87,4.35,2.98,113.66,True,0.9997029719527325,True
A_256,171.82,103.49,103.47,4.79,3.11,113.41,True,0.9964001367686451,True
A_257,171.85,103.65,103.55,4.48,3.31,112.89,True,0.9265949246044675,True
A_258,172.19,104.03,104.25,4.17,2.81,112.94,True,0.997089208439448,True
A_259,171.71,103.53,103.78,3.89,3.03,113.51,True,0.9999179212487289,True
A_260,172.35,103.62,103.78,4.38,2.86,113.28,True,0.9996925965481404,True
A_261,172.27,103.71,103.64,4.64,2.67,113.63,True,0.9999681201250252,True
A_262,171.99,103.75,103.53,3.79,2.81,112.52,True,0.9994180720975634,True
A_263,171.91,103.97,103.81,3.96,3.03,112.64,True,0.9900640190385956,True
A_264,172.06,103.92,103.42,4.28,3.0,113.41,True,0.9997924824650497,True
A_265,171.75,104.12,104.1,3.85,3.24,113.3,True,0.9961034051217634,True
A_266,172.15,104.02,103.94,3.96,2.87,112.38,True,0.9876042891855696,True
A_267,171.95,103.94,103.8,4.1,3.41,113.38,True,0.991952530664753,True
A_268,171.48,103.31,103.42,3.84,3.04,113.56,True,0.9999789972219609,True
A_269,171.47,104.3,104.01,4.32,2.68,113.07,True,0.9985460398154171,True
A_270,171.88,103.93,103.72,4.88,3.26,113.11,True,0.833020105562503,True
A_271,172.11,103.98,104.33,4.3,2.91,112.72,True,0.9624948458048996,True
A_272,172.06,104.21,103.88,4.63,3.22,113.7,True,0.9946318872190342,True
A_273,171.6,104.22,104.11,4.25,3.29,113.4,True,0.9766701322787794,True
A_274,172.19,104.05,103.54,3.8,3.24,112.84,True,0.9961792198558231,True
A_275,171.52,103.74,104.1,4.47,2.87,113.58,True,0.9993236950187765,True
A_276,171.81,104.17,103.72,4.17,3.05,112.49,True,0.9436680855954521,True
A_277,171.62,104.11,103.71,4.33,3.14,113.14,True,0.9891834606566412,True
A_278,172.08,104.16,104.17,3.54,3.29,112.71,True,0.9754697498673617,True
A_279,171.86,104.15,103.5,4.31,2.92,113.87,True,0.9999733186125042,True
A_280,172.29,103.73,103.55,3.84,3.23,113.9,True,0.9999826235814486,True
A_281,171.85,103.64,103.63,3.73,3.29,112.95,True,0.9971158090949109,True
A_282,171.99,103.9,104.21,4.18,3.07,113.01,True,0.9855457502253028,True
A_283,172.02,104.54,103.74,3.96,2.94,113.51,True,0.9998976635252604,True
A_284,172.47,103.57,103.89,4.6,3.2,112.93,True,0.9425591278370591,True
A_285,171.92,103.83,103.76,4.116096807415037,3.23,113.29,True,0.9971713181019364,True
A_286,172.27,103.78,103.86,4.25,2.86,112.73,True,0.9960098480965748,True
A_287,172.04,103.99,104.12,4.2,3.02,113.16,True,0.9956905631245451,True
A_288,171.92,104.12,104.15,3.83,2.88,112.65,True,0.9947234608300655,True
A_289,172.21,104.22,103.57,3.57,3.17,112.43,True,0.9920789936818141,True
A_290,172.08,104.4,103.94,4.22,2.97,113.08,True,0.9958201549930495,True
A_291,171.85,103.93,103.81,4.36,3.12,112.82,True,0.9580629080777945,True
A_292,171.77,103.79,104.11,3.92,3.18,113.33,True,0.9979260585898111,True
A_293,172.09,103.31,103.81,4.88,3.01,113.69,True,0.9989484073355186,True
A_294,172.5,103.81,103.83,4.19,3.01,113.18,True,0.9991496128982841,True
A_295,171.52,103.97,103.81,4.08,3.07,112.74,True,0.9805156793532722,True
A_296,172.34,104.54,103.56,4.04,3.42,112.93,True,0.9625783893904034,True
A_297,171.87,103.99,104.03,4.42,2.89,112.72,True,0.9704050767768507,True
A_298,172.12,103.9,104.32,3.83,3.03,113.56,True,0.999781146201167,True
A_299,172.43,103.83,104.13,3.72,2.81,113.27,True,0.9999559305922455,True
A_300,171.68,103.77,103.82,4.24,2.86,113.6,True,0.999909076122181,True
A_301,171.54,104.27,104.01,4.63,3.05,113.09,True,0.9346742203807717,True
A_302,171.46,103.83,103.95,4.21,3.15,113.59,True,0.9985965055420775,True
A_303,171.65,103.31,104.11,3.51,3.04,113.4,True,0.999933725996435,True
A_304,172.02,103.45,103.79,3.91,3.0,113.12,True,0.9996723327569624,True
A_305,172.3,103.88,103.85,4.22,3.09,113.1,True,0.9964700776024936,True
A_306,171.83,104.65,103.66,3.83,2.95,113.28,True,0.9997901862340447,True
A_307,172.1,103.93,103.43,3.96,3.13,113.38,True,0.9998283891448049,True
A_308,172.24,104.22,103.67,4.3,3.33,113.13,True,0.9769003125621583,True
A_309,171.87,103.99,104.02,4.23,3.02,113.0,True,0.9906583089305812,True
A_310,172.25,104.14,103.76,3.84,2.81,112.72,True,0.9994053491199829,True
A_311,172.47,103.87,104.16,4.63,3.18,112.98,True,0.8831107252360071,True
A_312,172.58,103.99,103.63,4.43,3.07,112.79,True,0.9852243283379352,True
A_313,172.07,104.09,103.7,4.11,3.0,113.19,True,0.9992461415976073,True
A_314,172.32,103.99,104.01,4.22,2.95,113.08,True,0.9976970902208108,True
A_315,172.1,104.16,104.18,4.03,3.08,112.65,True,0.9506001309150434,True
A_316,171.99,103.6,103.43,4.57,2.96,113.09,True,0.998129875296925,True
A_317,171.91,103.99,103.81,4.0,2.88,113.02,True,0.9993740804168102,True
A_318,171.51,104.34,103.49,4.29,3.03,113.42,True,0.9991961148881789,True
A_319,172.22,103.51,103.99,3.67,3.06,112.86,True,0.9989787819979405,True
A_320,172.05,104.11,104.14,4.73,2.73,113.3,True,0.9974264439724617,True
A_321,172.07,104.35,104.43,4.1,3.02,112.76,True,0.939604760443102,True
A_322,171.74,103.74,103.78,4.43,3.14,113.02,True,0.9785705911283863,True
A_323,171.75,104.13,103.91,4.24,2.97,113.33,True,0.9986875609098234,True
A_324,171.91,103.83,103.68,4.05,2.86,113.41,True,0.9999396034147835,True
A_325,172.1,104.42,103.6,4.18,2.89,113.32,True,0.9997584529106323,True
A_326,171.96,104.17,103.35,4.35,3.31,113.67,True,0.9990432824840549,True
A_327,171.42,103.47,103.82,4.35,3.05,112.7,True,0.9588477031738037,True
A_328,171.85,103.86,104.08,4.23,3.36,113.01,True,0.8903728003298814,True
A_329,172.05,103.79,104.17,4.08,3.12,112.77,True,0.9670483134834725,True
A_330,172.0,103.85,104.04,3.75,3.45,113.73,True,0.9991849164718959,True
A_331,171.99,104.12,104.18,4.41,2.75,113.18,True,0.9982901030260946,True
A_332,172.4,104.17,104.09,4.46,3.02,113.16,True,0.9902159252777054,True
A_333,171.95,103.44,103.8,4.08,3.19,112.43,True,0.9234709134332378,True
A_334,171.53,104.56,103.9,3.99,3.08,113.15,True,0.9952887977065646,True
A_335,171.85,103.7,103.96,4.116096807415037,3.0,113.36,True,0.9994195238628064,True
A_336,172.33,103.81,103.67,4.58,2.87,113.2,True,0.998991034020589,True
A_337,171.8,103.96,103.87,3.97,2.66,112.68,True,0.9993142815424265,True
A_338,171.59,103.8,103.95,4.09,2.89,113.27,True,0.9995173887276255,True
A_339,171.69,104.3,103.94,4.27,2.96,113.43,True,0.9988390925291801,True
